DIRECTORIO	SECUENCIA_P	ORDEN	HOGAR	REGIS	P6016	P6020	P6030S1	P6030S3	P6040	P6050	P6080	P6080S1	P6070	P6081	P6081S1	P6083	P6083S1	P6071	P6071S1	P3147S1	P3147S2	P3147S3	P3147S4	P3147S5	P3147S6	P3147S7	P3147S8	P3147S9	P3147S10	P3147S11	P3147S10A1	P3246	P6090	P6140	P6150	P6100	P6110	P6120	P6125	P6160	P6170	P6175	P6210	P6210S1	P6220	P6269	AREA	ESC	MES	DPTO	fex_c_2011
5332772	1	1	1	10	1	2	8	1964	56	1	6	 	2	3	 	3	 	1	2	 	 	 	1	 	 	1	 	 	 	 	 	2	1	 	 	1	5	 	2	1	2	 	3	3	 	 	68	3	1	68	299,790151
5332772	1	2	1	10	2	1	1	1967	53	2	6	 	2	3	 	2	 	1	1	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	68	11	1	68	299,790151
5332772	1	3	1	10	3	2	10	2002	18	3	6	 	6	1	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	1	1	6	0	2	2	68	11	1	68	299,790151
5332773	1	1	1	10	1	1	10	2000	20	1	6	 	1	3	 	2	 	1	2	 	 	 	1	 	 	1	 	 	 	 	 	1	2	1	12	 	 	 	2	1	2	 	5	10	1	 	68	10	1	68	293,4697533
5332773	1	2	1	10	2	2	7	2003	17	2	6	 	1	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	68	11	1	68	293,4697533
5332774	1	1	1	10	1	1	7	1977	43	1	6	 	6	3	 	2	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	1	 	 	3	 	 	2	1	2	 	4	7	 	 	68	7	1	68	360,1811625
5332774	1	2	1	10	2	1	4	2007	13	3	6	 	6	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	1	1	3	4	 	 	68	4	1	68	360,1811625
5332774	1	3	1	10	1	1	11	2014	6	3	6	 	 	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	3	1	 	 	68	1	1	68	360,1811625
5332783	1	1	1	10	1	1	8	1988	32	1	6	 	2	2	 	2	 	1	2	 	1	1	1	 	 	 	 	 	 	 	 	2	1	 	 	1	3	110000	2	1	2	 	6	5	4	 	68	16	1	68	612,5614411
5332783	1	2	1	10	2	2	7	1993	27	2	6	 	2	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	50000	2	1	1	2	6	0	2	2	68	11	1	68	612,5614411
5332784	1	1	1	10	1	1	2	1992	28	1	6	 	2	2	 	2	 	1	2	 	 	1	1	 	 	1	 	 	 	 	 	2	1	 	 	1	3	110000	2	1	2	 	5	11	2	 	68	11	1	68	419,2687501
5332784	1	2	1	10	2	2	7	1993	27	2	6	 	2	2	 	2	 	1	1	 	1	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	3	110000	2	1	2	 	6	5	4	 	68	16	1	68	419,2687501
5332784	1	3	1	10	2	1	3	2014	6	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	3	1	 	 	68	1	1	68	419,2687501
5332784	1	4	1	10	2	1	12	2020	0	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	 	 	 	 	 	 	 	68	 	1	68	419,2687501
5332785	1	1	1	10	1	1	6	1989	31	1	6	 	6	3	 	1	3	 	 	 	 	1	 	 	 	1	 	 	 	 	 	2	1	 	 	3	 	 	2	1	2	 	6	5	4	 	68	16	1	68	740,6425924
5332785	1	2	1	10	1	2	3	2016	4	3	6	 	 	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	2	1	1	2	0	 	 	68	0	1	68	740,6425924
5332785	1	3	1	10	3	2	11	1969	51	5	6	 	5	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	3	3	 	 	68	3	1	68	740,6425924
5332785	1	4	1	10	4	1	1	1959	62	5	6	 	6	3	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	2	2	 	1	0	 	 	68	0	1	68	740,6425924
5332785	1	5	1	10	5	2	3	1961	59	5	6	 	6	3	 	2	 	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	3	5	 	 	68	5	1	68	740,6425924
5332785	1	6	1	10	6	1	11	1987	33	5	6	 	6	2	 	1	5	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	68	11	1	68	740,6425924
5332786	1	1	1	10	1	2	11	1960	60	1	6	 	5	3	 	3	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	2	1	 	 	3	 	 	2	1	2	 	5	11	2	 	68	11	1	68	655,7002155
5332786	1	2	1	10	2	1	11	1981	39	3	6	 	6	3	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	4	8	 	 	68	8	1	68	655,7002155
5332786	1	3	1	10	3	1	8	2005	15	4	6	 	6	1	2	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	2	1	10	 	 	 	2	1	1	1	4	9	 	 	68	9	1	68	655,7002155
5332786	1	4	1	10	4	1	8	1958	62	5	6	 	6	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	2	1	96	 	 	 	2	1	2	 	4	9	 	 	68	9	1	68	655,7002155
5332787	1	1	1	10	2	1	3	1962	58	1	6	 	2	3	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	1	35112	2	1	2	 	3	5	 	 	68	5	1	68	366,809016
5332787	1	2	1	10	2	2	2	1962	58	2	6	 	2	3	 	3	 	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	1	2	70224	2	1	2	 	3	5	 	 	68	5	1	68	366,809016
5332787	2	1	2	10	1	1	9	1952	68	1	6	 	4	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	2	70224	2	1	2	 	3	5	 	 	68	5	1	68	366,809016
5332794	1	1	1	10	1	2	6	1954	66	1	6	 	4	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	1	 	 	3	 	 	2	1	2	 	3	5	 	 	50	5	1	50	208,0722409
5332795	1	1	1	10	1	2	6	1955	65	1	6	 	4	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	1	 	 	3	 	 	2	1	2	 	3	3	 	 	50	3	1	50	243,1018649
5332795	1	2	1	10	2	2	9	1981	39	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	2	1	12	 	 	 	2	1	2	 	5	11	2	 	50	11	1	50	243,1018649
5332795	1	3	1	10	2	1	8	2007	13	4	6	 	6	2	 	1	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	2	1	12	 	 	 	2	1	1	1	4	6	 	 	50	6	1	50	243,1018649
5332795	1	4	1	10	4	2	1	1994	26	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	50	11	1	50	243,1018649
5332795	1	5	1	10	4	2	1	2015	5	4	6	 	 	2	 	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	2	1	1	3	0	 	 	50	0	1	50	243,1018649
5332795	1	6	1	10	4	1	11	2016	4	4	6	 	 	2	 	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	2	2	 	1	0	 	 	50	0	1	50	243,1018649
5332796	1	1	1	10	1	1	10	1994	26	1	6	 	2	2	 	1	4	1	2	 	 	 	 	 	 	 	 	 	 	1	 	1	2	1	2	 	 	 	2	1	2	 	5	11	2	 	50	11	1	50	410,4222576
5332796	1	2	1	10	2	2	6	1998	22	2	6	 	2	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	50	11	1	50	410,4222576
5332796	1	3	1	10	2	1	5	2018	2	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	 	 	 	 	 	 	 	50	 	1	50	410,4222576
5332796	1	4	1	10	4	2	1	1976	45	5	6	 	4	2	 	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	3	2	 	 	50	2	1	50	410,4222576
5332796	1	5	1	10	4	1	10	2011	9	5	6	 	 	2	 	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	3	3	 	 	50	3	1	50	410,4222576
5332797	1	1	1	10	1	1	12	1993	27	1	6	 	2	2	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	1	44000	2	1	2	 	5	11	2	 	50	11	1	50	367,3717015
5332797	1	2	1	10	2	2	12	1994	26	2	6	 	2	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	6	3	3	 	50	14	1	50	367,3717015
5332797	1	3	1	10	2	1	6	2015	5	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	2	2	 	1	0	 	 	50	0	1	50	367,3717015
5332798	1	1	1	10	1	1	10	1991	29	1	6	 	2	2	 	2	 	1	2	 	 	 	 	 	 	1	 	 	 	 	 	1	1	 	 	3	 	 	2	1	2	 	4	9	 	 	50	9	1	50	388,3078285
5332798	1	2	1	10	2	2	7	1994	26	2	6	 	2	3	 	3	 	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	6	2	3	 	50	13	1	50	388,3078285
5332798	1	3	1	10	2	1	9	2011	9	3	6	 	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	3	2	 	 	50	2	1	50	388,3078285
5332798	1	4	1	10	2	2	6	2017	3	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	2	2	 	1	0	 	 	50	0	1	50	388,3078285
5332799	1	1	1	10	1	2	5	1961	59	1	6	 	4	3	 	2	 	 	 	 	1	 	 	1	 	 	 	 	 	 	 	1	1	 	 	3	 	 	2	1	2	 	5	11	2	 	50	11	1	50	208,0722409
5332800	1	1	1	10	1	1	12	1950	70	1	6	 	4	3	 	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	1	 	 	3	 	 	2	2	2	 	1	0	 	 	50	0	1	50	272,7962367
5332801	1	1	1	10	1	1	11	1962	58	1	6	 	3	3	 	3	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	1	1	 	 	3	 	 	2	1	2	 	3	5	 	 	50	5	1	50	190,1771281
5332801	1	2	1	10	2	2	12	1965	55	2	6	 	3	3	 	3	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	50	11	1	50	190,1771281
5332802	1	1	1	10	1	2	4	1997	23	1	6	 	2	2	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	1	1	 	 	1	1	33000	2	1	2	 	5	11	2	 	50	11	1	50	389,4580068
5332802	1	2	1	10	2	1	9	1990	30	2	6	 	2	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	33000	2	1	2	 	5	11	2	 	50	11	1	50	389,4580068
5332802	1	3	1	10	1	2	4	2013	7	3	6	 	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	3	2	 	 	50	2	1	50	389,4580068
5332802	1	4	1	10	1	1	11	2014	6	3	6	 	 	1	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	3	0	 	 	50	0	1	50	389,4580068
5332803	1	1	1	10	1	2	5	1953	67	1	6	 	5	3	 	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	2	1	 	 	3	 	 	2	2	2	 	1	0	 	 	50	0	1	50	277,6321894
5332803	1	2	1	10	2	1	4	1991	29	3	6	 	4	3	 	1	1	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	4	8	 	 	50	8	1	50	277,6321894
5332803	1	3	1	10	3	1	12	1992	28	3	6	 	4	3	 	1	1	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	4	8	 	 	50	8	1	50	277,6321894
5332804	1	1	1	10	1	2	6	1959	61	1	6	 	4	3	 	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	2	1	 	 	1	5	 	2	1	2	 	3	5	 	 	50	5	1	50	186,9075595
5332804	1	2	1	10	1	1	5	2003	17	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	4	8	 	 	50	8	1	50	186,9075595
5332805	1	1	1	10	1	2	9	1981	39	1	6	 	2	3	 	2	 	1	2	 	 	 	1	 	 	 	 	 	 	 	 	2	1	 	 	3	 	 	2	1	2	 	3	5	 	 	50	5	1	50	292,1724222
5332805	1	2	1	10	2	1	12	1977	43	2	6	 	2	2	 	2	 	1	1	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	50	11	1	50	292,1724222
5332805	1	3	1	10	3	2	6	1999	21	3	6	 	6	1	2	1	1	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	1	1	44000	2	1	1	1	6	2	2	2	50	13	1	50	292,1724222
5332805	1	4	1	10	1	1	12	2006	14	3	6	 	6	1	2	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	4	8	 	 	50	8	1	50	292,1724222
5332806	1	1	1	10	1	1	5	1939	81	1	6	 	5	3	 	3	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	2	1	 	 	3	 	 	2	1	2	 	3	5	 	 	50	5	1	50	307,576211
5332806	1	2	1	10	2	1	6	1975	45	3	6	 	6	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	3	5	 	 	50	5	1	50	307,576211
5332807	1	1	1	10	1	1	2	1971	49	1	6	 	4	3	 	3	 	 	 	 	1	1	1	 	 	1	 	 	 	 	 	1	2	1	48	 	 	 	1	2	2	 	1	0	 	 	50	0	1	50	367,3717015
5332807	1	2	1	10	2	2	8	1995	25	3	6	 	2	1	1	2	 	2	 	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	6	2	3	 	50	13	1	50	367,3717015
5332807	1	3	1	10	2	1	2	2017	3	4	6	 	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	2	2	 	1	0	 	 	50	0	1	50	367,3717015
5332808	1	1	1	10	1	1	8	1967	53	1	6	 	2	2	 	3	 	1	2	 	1	1	1	 	 	 	 	 	 	 	 	1	1	 	 	3	 	 	2	1	2	 	3	3	 	 	50	3	1	50	318,8291245
5332808	1	2	1	10	2	2	5	1975	45	2	6	 	2	2	 	2	 	1	1	 	1	1	1	 	 	1	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	4	7	 	 	50	7	1	50	318,8291245
5332809	1	1	1	10	1	1	11	1986	34	1	6	 	3	2	 	2	 	1	2	 	1	1	1	 	 	1	 	 	 	 	 	1	1	 	 	3	 	 	2	1	2	 	3	5	 	 	50	5	1	50	361,8796806
5332809	1	2	1	10	2	2	8	1981	39	2	6	 	3	3	 	2	 	1	1	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	3	4	 	 	50	4	1	50	361,8796806
5332809	1	3	1	10	2	2	10	2007	13	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	1	1	4	6	 	 	50	6	1	50	361,8796806
5332809	1	4	1	10	2	1	2	2009	11	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	1	1	4	0	 	 	50	5	1	50	361,8796806
5332810	1	1	1	10	1	2	7	1975	45	1	6	 	4	3	 	2	 	 	 	 	1	1	1	 	 	1	 	 	 	 	 	2	1	 	 	3	 	 	2	1	2	 	3	5	 	 	50	5	1	50	145,3456747
5332810	1	2	1	10	2	2	9	1996	24	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	35000	2	1	1	1	6	5	2	2	50	16	1	50	145,3456747
5332810	1	3	1	10	1	1	2	2004	16	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	1	1	4	9	 	 	50	9	1	50	145,3456747
5332810	1	4	1	10	4	2	8	1951	69	5	6	 	5	3	 	1	5	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	3	5	 	 	50	5	1	50	145,3456747
5332810	1	5	1	10	4	2	1	1930	91	5	6	 	5	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	5	 	2	1	2	 	3	2	 	 	50	2	1	50	145,3456747
5332836	1	1	1	10	1	2	7	1985	35	1	6	 	4	2	 	2	 	 	 	 	 	1	1	 	 	 	 	1	 	 	 	2	1	 	 	1	3	109800	2	1	2	 	6	3	3	 	54	14	1	54	289,9753868
5332842	1	1	1	10	1	2	5	1940	80	1	6	 	6	3	 	3	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	2	1	 	 	3	 	 	2	1	2	 	3	5	 	 	54	5	1	54	343,5626575
5332842	1	2	1	10	2	2	12	1956	64	3	6	 	6	3	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	2	 	 	 	 	2	1	2	 	3	5	 	 	54	5	1	54	343,5626575
5332843	1	1	1	10	1	1	12	1952	68	1	6	 	2	3	 	3	 	1	2	 	 	 	 	1	 	 	 	1	 	 	 	2	1	 	 	3	 	 	2	1	2	 	4	8	 	 	54	8	1	54	419,9656904
5332843	1	2	1	10	2	2	10	1945	75	2	6	 	2	3	 	3	 	1	1	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	 	3	 	 	2	2	2	 	1	0	 	 	54	0	1	54	419,9656904
5332846	1	1	1	10	1	2	12	1992	28	1	6	 	2	2	 	2	 	1	2	 	 	 	 	 	 	1	 	 	 	 	 	2	2	1	36	 	 	 	1	1	2	 	5	11	2	 	76	11	1	76	919,7455759
5332846	1	2	1	10	2	1	4	1980	40	2	6	 	2	2	 	2	 	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	3	4	 	 	76	4	1	76	919,7455759
5332847	1	1	1	10	1	1	6	1948	72	1	6	 	4	3	 	3	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	1	2	1	36	 	 	 	1	1	2	 	3	5	 	 	76	5	1	76	932,221919
5332848	1	1	1	10	1	2	7	1945	75	1	6	 	5	3	 	3	 	 	 	 	1	 	1	 	 	 	 	1	 	 	 	1	1	 	 	1	2	70224	2	1	2	 	3	5	 	 	76	5	1	76	946,7904553
5332848	1	2	1	10	1	2	5	2002	18	4	6	 	6	2	 	2	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	1	 	 	1	5	 	2	1	1	2	3	2	 	 	76	2	1	76	946,7904553
5332848	1	3	1	10	3	2	2	1950	70	5	6	 	6	3	 	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	3	3	 	 	76	3	1	76	946,7904553
5332849	1	1	1	10	1	1	7	1952	68	1	6	 	3	3	 	3	 	1	2	 	1	 	 	 	 	 	 	1	 	 	 	2	1	 	 	1	2	104000	2	1	2	 	5	11	2	 	76	11	1	76	809,3028859
5332849	1	2	1	10	2	2	3	1956	64	2	6	 	3	3	 	3	 	1	1	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	1	2	 	3	5	 	 	76	5	1	76	809,3028859
5332850	1	1	1	10	1	2	11	1983	37	1	6	 	2	3	 	2	 	1	2	 	1	1	 	 	 	 	 	 	 	 	 	2	1	 	 	3	 	 	2	1	2	 	4	6	 	 	76	6	1	76	1307,231802
5332850	1	2	1	10	2	1	12	1976	44	2	6	 	2	3	 	2	 	1	1	 	1	 	1	 	 	 	 	1	 	 	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	76	11	1	76	1307,231802
5332850	1	3	1	10	1	2	7	1998	22	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	1	1	52000	2	1	2	 	5	11	2	 	76	11	1	76	1307,231802
5332850	1	4	1	10	1	2	12	2006	14	3	6	 	6	1	2	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	4	8	 	 	76	8	1	76	1307,231802
5332850	1	5	1	10	5	1	12	2002	18	5	6	 	6	3	 	3	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	5	10	1	 	76	10	1	76	1307,231802
5332851	1	1	1	10	1	2	3	1971	49	1	6	 	4	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	3	 	 	2	1	2	 	3	3	 	 	76	3	1	76	919,7455759
5332851	1	2	1	10	2	1	3	1994	26	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	48000	2	1	2	 	5	11	2	 	76	11	1	76	919,7455759
5332852	1	1	1	10	1	1	5	1972	48	1	6	 	2	3	 	3	 	1	2	 	1	1	1	 	 	 	 	 	 	 	 	1	1	 	 	3	 	 	2	1	2	 	3	5	 	 	76	5	1	76	1104,801663
5332852	1	2	1	10	1	2	4	1993	27	2	6	 	2	2	 	2	 	1	1	 	1	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	2	2	 	1	0	 	 	76	0	1	76	1104,801663
5332852	1	3	1	10	1	2	10	2020	0	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	 	 	 	 	 	 	 	76	 	1	76	1104,801663
5332853	1	1	1	10	1	2	8	1951	69	1	6	 	5	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	1	 	 	1	2	70224	2	1	2	 	3	5	 	 	76	5	1	76	943,658143
5332854	1	1	1	10	1	2	3	1969	51	1	6	 	4	2	 	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	1	 	 	3	 	 	2	1	2	 	3	4	 	 	76	4	1	76	1045,796921
5332854	1	2	1	10	1	1	10	1993	27	3	6	 	6	3	 	1	1	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	4	8	 	 	76	8	1	76	1045,796921
5332854	1	3	1	10	1	2	8	2003	17	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	4	8	 	 	76	8	1	76	1045,796921
5332855	1	1	1	10	1	1	3	1964	56	1	6	 	2	3	 	3	 	1	2	1	 	1	1	 	 	1	 	1	 	 	 	1	1	 	 	3	 	 	2	1	2	 	3	3	 	 	76	3	1	76	966,4771524
5332855	1	2	1	10	2	2	10	1965	55	2	6	 	2	3	 	3	 	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	3	2	 	 	76	2	1	76	966,4771524
5332855	1	3	1	10	3	1	1	1990	31	3	6	 	6	1	1	1	2	 	 	1	 	1	 	1	 	 	1	1	 	 	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	76	11	1	76	966,4771524
5332855	1	4	1	10	2	2	11	1992	28	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	2	2	 	1	0	 	 	76	0	1	76	966,4771524
5332855	1	5	1	10	2	1	2	2006	14	4	6	 	6	2	 	1	4	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	4	6	 	 	76	6	1	76	966,4771524
5332855	1	6	1	10	2	2	7	2013	7	4	6	 	 	3	 	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	 	2	2	1	1	3	1	 	 	76	1	1	76	966,4771524
5332855	1	7	1	10	7	2	3	1986	34	3	6	 	4	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	3	 	 	2	1	2	 	3	3	 	 	76	3	1	76	966,4771524
5332855	1	8	1	10	2	1	6	2005	15	4	6	 	6	2	 	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	3	5	 	 	76	5	1	76	966,4771524
5332864	1	1	1	10	1	1	2	1942	78	1	6	 	3	3	 	3	 	1	2	1	1	1	1	 	 	 	 	1	 	 	 	1	1	 	 	1	2	70224	2	1	2	 	3	5	 	 	5	5	1	5	1226,712917
5332864	1	2	1	10	2	2	2	1951	69	2	6	 	3	3	 	3	 	1	1	1	1	1	 	 	 	 	 	1	 	 	 	 	1	 	 	1	5	 	2	1	2	 	3	5	 	 	5	5	1	5	1226,712917
5332864	1	3	1	10	3	2	11	1976	44	3	6	 	6	1	1	1	2	 	 	1	 	1	 	 	 	 	 	1	 	 	 	 	1	 	 	3	 	 	2	1	2	 	6	5	4	 	5	16	1	5	1226,712917
5332864	1	4	1	10	4	1	6	1994	26	3	6	 	6	1	1	1	2	 	 	 	 	1	 	 	 	1	 	1	 	 	 	 	1	 	 	1	5	 	2	1	2	 	4	8	 	 	5	8	1	5	1226,712917
5332871	1	1	1	10	1	2	9	1985	35	1	6	 	1	2	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	1	112000	2	1	2	 	6	2	3	 	17	13	1	17	201,3798871
5332871	1	2	1	10	2	1	10	1994	26	2	6	 	1	3	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	5	 	2	1	2	 	6	3	3	 	17	14	1	17	201,3798871
5332871	1	3	1	10	1	2	8	2007	13	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	5	 	2	1	1	1	4	7	 	 	17	7	1	17	201,3798871
5332872	1	1	1	10	1	1	8	1960	60	1	6	 	3	3	 	3	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	17	11	1	17	187,1117914
5332872	1	2	1	10	2	2	8	1968	52	2	6	 	3	3	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	17	11	1	17	187,1117914
